c2;c3;NameAuto;c4;c4o;c5;c5m;c6;c6a;c7;c8;c8_o;ListVehicles;PARENT_KEY;KEY;Fexp
1;A;Automóvil;1;;2;66001;2;1;2008;1;;Vehículo No. 1: Automóvil (2008);uuid:38d81220-9026-4f52-991a-f8915b447439;uuid:38d81220-9026-4f52-991a-f8915b447439/accepted/C/C.1/vehicles[1];81,25
1;E;Motocicleta;1;;;;2;8;2011;1;;Vehículo No. 1: Motocicleta (2011);uuid:1807b7af-c09e-47af-9234-18f1a768cd61;uuid:1807b7af-c09e-47af-9234-18f1a768cd61/accepted/C/C.1/vehicles[1];132,19
2;E;Motocicleta;1;;;;2;8;2020;1;;Vehículo No. 2: Motocicleta (2020);uuid:1807b7af-c09e-47af-9234-18f1a768cd61;uuid:1807b7af-c09e-47af-9234-18f1a768cd61/accepted/C/C.1/vehicles[2];132,19
1;B;Campero/Camioneta;1;;1;11001;1;1;2014;1;;Vehículo No. 1: Campero/Camioneta (2014);uuid:6603181f-9cf9-4754-9aa4-f710acbef8e6;uuid:6603181f-9cf9-4754-9aa4-f710acbef8e6/accepted/C/C.1/vehicles[1];2,93
1;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 1: Motocicleta (2019);uuid:6511a0c7-545d-4af7-a784-8951c586decc;uuid:6511a0c7-545d-4af7-a784-8951c586decc/accepted/C/C.1/vehicles[1];200,03
2;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 2: Motocicleta (2021);uuid:6511a0c7-545d-4af7-a784-8951c586decc;uuid:6511a0c7-545d-4af7-a784-8951c586decc/accepted/C/C.1/vehicles[2];200,03
3;E;Motocicleta;1;;;;2;8;2017;1;;Vehículo No. 3: Motocicleta (2017);uuid:6511a0c7-545d-4af7-a784-8951c586decc;uuid:6511a0c7-545d-4af7-a784-8951c586decc/accepted/C/C.1/vehicles[3];200,03
1;E;Motocicleta;1;;;;2;8;2017;1;;Vehículo No. 1: Motocicleta (2017);uuid:b8836b3b-7304-4b9c-88cf-a9f84022d343;uuid:b8836b3b-7304-4b9c-88cf-a9f84022d343/accepted/C/C.1/vehicles[1];164,15
1;A;Automóvil;1;;2;25151;2;1;2018;1;;Vehículo No. 1: Automóvil (2018);uuid:e17ad7d9-a341-4d3b-810d-4d777bc9c753;uuid:e17ad7d9-a341-4d3b-810d-4d777bc9c753/accepted/C/C.1/vehicles[1];169,11
1;A;Automóvil;1;;1;11001;2;1;2010;1;;Vehículo No. 1: Automóvil (2010);uuid:f7b91ee3-760d-433d-b8ae-d50d0bae6397;uuid:f7b91ee3-760d-433d-b8ae-d50d0bae6397/accepted/C/C.1/vehicles[1];68,98
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba/accepted/C/C.1/vehicles[1];40,88
2;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 2: Motocicleta (9999);uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba/accepted/C/C.1/vehicles[2];40,88
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:b67e6e4d-f46a-4b79-91c2-de7cc8ca85ce;uuid:b67e6e4d-f46a-4b79-91c2-de7cc8ca85ce/accepted/C/C.1/vehicles[1];45,57
1;H;Taxi;1;;1;11001;1;1;9999;2;;Vehículo No. 1: Taxi (9999);uuid:6c2ded56-b3be-460c-a3c9-edc4d2a28274;uuid:6c2ded56-b3be-460c-a3c9-edc4d2a28274/accepted/C/C.1/vehicles[1];329,41
1;F;Moto - carro;1;;;;2;8;9999;1;;Vehículo No. 1: Moto - carro (9999);uuid:8982ef42-bb6a-4c8f-9b23-854067222561;uuid:8982ef42-bb6a-4c8f-9b23-854067222561/accepted/C/C.1/vehicles[1];264,54
1;E;Motocicleta;1;;;;2;8;1994;1;;Vehículo No. 1: Motocicleta (1994);uuid:bb0d4e59-8ba4-4f37-a3f3-9f9ab887ce95;uuid:bb0d4e59-8ba4-4f37-a3f3-9f9ab887ce95/accepted/C/C.1/vehicles[1];6,23
1;E;Motocicleta;1;;;;2;8;2017;1;;Vehículo No. 1: Motocicleta (2017);uuid:346a2534-f7d2-4971-96c5-f15e764f9d02;uuid:346a2534-f7d2-4971-96c5-f15e764f9d02/accepted/C/C.1/vehicles[1];78,47
1;E;Motocicleta;1;;;;2;8;2015;1;;Vehículo No. 1: Motocicleta (2015);uuid:f0eb95cb-bc24-4072-8b08-e6e4fae1c04a;uuid:f0eb95cb-bc24-4072-8b08-e6e4fae1c04a/accepted/C/C.1/vehicles[1];92,20
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:5a741051-1d21-4c80-8180-ec79e481d62c;uuid:5a741051-1d21-4c80-8180-ec79e481d62c/accepted/C/C.1/vehicles[1];10,93
1;E;Motocicleta;1;;;;2;8;2003;1;;Vehículo No. 1: Motocicleta (2003);uuid:b3e2c45e-13a8-47c3-afb7-a97ebbe9f2a2;uuid:b3e2c45e-13a8-47c3-afb7-a97ebbe9f2a2/accepted/C/C.1/vehicles[1];306,82
1;E;Motocicleta;1;;;;2;8;2022;1;;Vehículo No. 1: Motocicleta (2022);uuid:cf7bc59c-ffb7-40a0-b3d5-797542daa769;uuid:cf7bc59c-ffb7-40a0-b3d5-797542daa769/accepted/C/C.1/vehicles[1];6,16
1;E;Motocicleta;1;;;;2;8;2022;1;;Vehículo No. 1: Motocicleta (2022);uuid:cafd9401-256b-4461-bc94-35a388b5780d;uuid:cafd9401-256b-4461-bc94-35a388b5780d/accepted/C/C.1/vehicles[1];6,09
1;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 1: Motocicleta (2019);uuid:f7dedd68-f342-457a-8c34-53b8282d9b5e;uuid:f7dedd68-f342-457a-8c34-53b8282d9b5e/accepted/C/C.1/vehicles[1];6,13
1;A;Automóvil;1;;1;11001;1;1;1998;1;;Vehículo No. 1: Automóvil (1998);uuid:4965d412-c93a-4362-9a63-93cc264172d4;uuid:4965d412-c93a-4362-9a63-93cc264172d4/accepted/C/C.1/vehicles[1];6,11
2;E;Motocicleta;1;;;;2;8;2016;1;;Vehículo No. 2: Motocicleta (2016);uuid:4965d412-c93a-4362-9a63-93cc264172d4;uuid:4965d412-c93a-4362-9a63-93cc264172d4/accepted/C/C.1/vehicles[2];6,11
1;E;Motocicleta;1;;;;2;8;2000;1;;Vehículo No. 1: Motocicleta (2000);uuid:c1361a77-d905-4611-86ab-cc535f23b01e;uuid:c1361a77-d905-4611-86ab-cc535f23b01e/accepted/C/C.1/vehicles[1];457,85
1;E;Motocicleta;1;;;;2;8;2014;1;;Vehículo No. 1: Motocicleta (2014);uuid:a0284b06-e255-4dbe-b47c-e4cb59c3ede0;uuid:a0284b06-e255-4dbe-b47c-e4cb59c3ede0/accepted/C/C.1/vehicles[1];80,32
1;E;Motocicleta;1;;;;2;8;2015;1;;Vehículo No. 1: Motocicleta (2015);uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342;uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342/accepted/C/C.1/vehicles[1];5,97
2;E;Motocicleta;1;;;;2;8;2022;1;;Vehículo No. 2: Motocicleta (2022);uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342;uuid:8e93a4e8-3ad5-4603-99ed-2a39966d4342/accepted/C/C.1/vehicles[2];5,97
1;E;Motocicleta;1;;;;2;8;2018;1;;Vehículo No. 1: Motocicleta (2018);uuid:1f1f2d6b-078e-4be1-bfcf-7f10c2a48d31;uuid:1f1f2d6b-078e-4be1-bfcf-7f10c2a48d31/accepted/C/C.1/vehicles[1];464,91
1;F;Moto - carro;1;;;;2;8;2020;1;;Vehículo No. 1: Moto - carro (2020);uuid:fad1f077-d16c-47ce-8c6c-929e659ffd7d;uuid:fad1f077-d16c-47ce-8c6c-929e659ffd7d/accepted/C/C.1/vehicles[1];506,89
1;B;Campero/Camioneta;1;;1;11001;2;1;2010;1;;Vehículo No. 1: Campero/Camioneta (2010);uuid:f32a458d-0679-45f9-a0a7-91d6bebee0d5;uuid:f32a458d-0679-45f9-a0a7-91d6bebee0d5/accepted/C/C.1/vehicles[1];447,74
